epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.09724775591382274,0.01427031414911013,0.09739101960979125,0.05378227978944779
1,0.09699126726223363,0.014283425381614102,0.09714963211229553,0.05395989442865054
2,0.09720500558614731,0.014303715106237817,0.09738013803682945,0.05383038421471913
3,0.09684265611900224,0.014291024723745606,0.09703586988702968,0.054196034620205565
4,0.09694078688820203,0.014305541904091282,0.09715433542927106,0.053767581035693485
5,0.09678887506877934,0.01431811299537205,0.09702484351065424,0.05404787013928095
6,0.09664980253135716,0.014296553011431738,0.09690989484941517,0.053716522206862766
7,0.09716630416611831,0.014302147724838168,0.09745349645338676,0.05381451323628426
8,0.09651590835441042,0.014351064705772808,0.096833943216889,0.053862019131580986
9,0.09653745257054214,0.014304862637935137,0.09688725964062744,0.05383248801032702
10,0.0967802641292413,0.014290029075238164,0.09716579952725658,0.05365283265709877
11,0.0966293047423716,0.014290459337644279,0.0970545955416229,0.05349463745951653
12,0.09652663249936369,0.014276377365200056,0.09699521027505398,0.05362127274274826
13,0.09647141810920504,0.014298409628854305,0.09698888528402205,0.05381636420885722
14,0.09657135067714585,0.014334047903065328,0.09714321433394044,0.053922735154628754
15,0.09652596111926767,0.014314590034902923,0.0971553500879694,0.05381125658750534
16,0.09703300293121073,0.014305183840743094,0.09772599157359865,0.053782261162996295
17,0.09675113263505476,0.014313766215410497,0.09751486930030363,0.053791105002164843
18,0.09626418979907478,0.014306043774855358,0.09710464936991532,0.0537616861363252
19,0.09631488451527224,0.01429706818803593,0.09723934545009225,0.05350732877850532
20,0.0963433954036898,0.014323198650446203,0.09736233059730795,0.05421638389428456
21,0.0963619950192946,0.014361981944939881,0.09748553733030955,0.053601719935735065
