epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.09638886029521625,0.03414469876292127,0.11179532352145072,0.055057493348916374
1,0.09564322895473903,0.05770873947551957,0.10993342943213603,0.05533338959018389
2,0.09490513567019392,0.07195977332001482,0.10803237115895306,0.057170573621988297
3,0.09455180644161171,0.07840603865959027,0.10648594113687675,0.05756891320149104
4,0.0949371755813007,0.0831022291202788,0.10543313967408957,0.05742262527346611
5,0.09528747318243538,0.0831415821901626,0.10468274299745206,0.0572912742694219
6,0.09500774651489875,0.07970148080063087,0.10329194284147686,0.05718431075414022
7,0.09465769705949006,0.08017597930436884,0.10206990095752257,0.05777700369556745
8,0.09466224212061476,0.07787399473427623,0.10137189496998433,0.056617096563180286
9,0.09528113025482055,0.07451975286972744,0.10157217106057538,0.05825679376721382
10,0.09572122480582308,0.07085232992001154,0.10195002490999522,0.057944419980049136
