epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.15991480220799092,0.024539259262382984,0.1601611592427448,0.09113913426796595
1,0.1595130691787711,0.032485156837436885,0.15987324190360527,0.0904152512550354
2,0.15767480508872755,0.03671739731604854,0.15812436822387907,0.0965638076265653
3,0.1587863779730267,0.03803496761247516,0.15930060931929835,0.09323052962621053
4,0.15799620706174108,0.040845864055747236,0.15860594201970984,0.09100585381189982
5,0.1584153071873718,0.04073778707189141,0.15908668204038232,0.09167378346125285
6,0.15638387203216553,0.03919382769338511,0.15709691135971635,0.09041770398616791
7,0.15560387157731587,0.03989064250210369,0.15640489039597688,0.09239821334679922
8,0.15602821898129252,0.03927790033803494,0.1568986588606128,0.09201320856809617
9,0.15800926675675092,0.03779035425503497,0.1589333826193103,0.09003555526336034
10,0.15717158432084102,0.037081615775133726,0.15817202110257414,0.09181231359640757
11,0.1575850898882857,0.033603803530611376,0.15858515448592328,0.09163767397403717
12,0.15777503712861626,0.03177523024863115,0.15881796181201935,0.0904695933063825
13,0.15740011404785845,0.032590179393688835,0.15857956993083158,0.09013064155975978
14,0.15547003445250016,0.02996087534767058,0.15666533916912698,0.09213591068983078
15,0.15655853551019122,0.030015754220248374,0.15787827851319755,0.09101982712745667
16,0.1563818902467136,0.02894205459462548,0.1577839361572707,0.09083786656459172
17,0.1537910242461496,0.025746075833147322,0.15516475215554237,0.09164334634939829
18,0.15632289282425685,0.02563600593108546,0.1578289720195311,0.09121480435132981
19,0.15425383948065616,0.024775839376228827,0.15585586801171303,0.09157068729400634
