epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.15987299824202503,0.031715241416047014,0.160191396665242,0.09533927043279013
1,0.16008368962340885,0.03183922513077656,0.16043670158143397,0.09545930624008178
2,0.16106261478530037,0.03136711005397417,0.16144666931143514,0.09539684851964315
3,0.1603633932493351,0.03266939933032349,0.1608050816037037,0.09546231428782145
4,0.1611188832256529,0.0318877870320446,0.1615948954390155,0.09528774817784627
5,0.1601147254308065,0.031768982453892626,0.16063829187165807,0.09535533984502156
6,0.16038150588671365,0.03203073635490404,0.1609642302824391,0.09527402718861898
7,0.16021155924708755,0.031738750722811175,0.16084888570562558,0.09519743919372559
8,0.1601346019241545,0.032993934841619596,0.16086578272559024,0.09536485274632772
9,0.1583331955803765,0.03157703556051409,0.15910537209775713,0.09516548315684001
10,0.15891788955088015,0.0322297809438573,0.1597874272890665,0.09521237214406332
11,0.16005280393141288,0.033028199130462274,0.16103573847148153,0.09537529945373535
12,0.16130915725672687,0.0325941309608795,0.16237895846090936,0.09501578013102213
13,0.16119010636100062,0.03204206891219925,0.1623497254870556,0.09512794415156046
14,0.1609227580052835,0.03207472748019629,0.1622023946709103,0.09509701331456502
15,0.1601464185449812,0.032130764314421904,0.16155915486591835,0.09513773918151855
16,0.16029673980342019,0.03173656168359297,0.16183416090077823,0.09494160413742066
17,0.15891372660795847,0.03215600857166229,0.16062946776273074,0.09501332441965739
18,0.1588993927946797,0.032767650533329556,0.16082444573166194,0.09496043920516968
19,0.16000739126293748,0.03253601501799292,0.1621111991504828,0.09486459493637085
20,0.16035005781385633,0.03198785326202159,0.16262563607758945,0.09501965443293253
21,0.15800175512278522,0.03199958989258717,0.160505093427168,0.09502944946289063
22,0.15934265818860796,0.032817040000938706,0.16216447266439596,0.09486605326334635
23,0.1617961702523408,0.03196680617380749,0.16481575604390214,0.09523141781489054
24,0.15896619856357574,0.03182894726180368,0.16226710337731573,0.09487732648849487
25,0.1594964122330701,0.03221464412355864,0.16316202883091238,0.0949455459912618
26,0.1603023934143561,0.0314794294881048,0.16422973718080255,0.09493517478307088
27,0.15850747569843573,0.03192953746420918,0.1628717471052099,0.09485409259796143
28,0.1593974784568504,0.03168677438602403,0.16413863520655367,0.09472287098566691
29,0.15876362334798882,0.03223696332079945,0.16403904902162375,0.09482657114664714
30,0.15867694660469336,0.031720748981805866,0.16434875530777154,0.09483799537022909
31,0.15952117023644624,0.032239925840662584,0.16581320224536789,0.09469648202260335
32,0.16005921915725427,0.0324642229480324,0.16696684600578415,0.09479185342788696
33,0.15968248634426682,0.03333319749476181,0.1674057174887922,0.0947643518447876
34,0.1599147617816925,0.032391203049984246,0.1680764520747794,0.09469854831695557
35,0.15884263979064095,0.03172087807346274,0.16752268622318903,0.09457698663075766
36,0.16001207685029065,0.03229521499532792,0.16959484845951753,0.09471959273020426
37,0.15910773972670236,0.03272254652930079,0.1696197760325891,0.09471264282862345
38,0.15899164698742055,0.03197933671375116,0.17009528312418196,0.09466158151626587
39,0.15764914177082204,0.03274137540547936,0.16991438247539378,0.0947157621383667
