epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.1532798819243908,0.03946180151844466,0.15367605047369445,0.0903618390361468
1,0.15299931768741873,0.04414190605489744,0.15348873273641975,0.08924693812926611
2,0.15120428214194598,0.04524006170255167,0.15175819459060827,0.08961865653594335
3,0.15263216535526294,0.04353592175714396,0.1532207690179348,0.08965840836366018
4,0.15237117703590128,0.04400003303049339,0.15302799600693914,0.08956988702217737
5,0.1532574805120627,0.04458396890442128,0.1539922432491073,0.09050775667031606
6,0.15154150514690964,0.042907451279461384,0.1523221056494448,0.09022937715053558
7,0.15058321526481044,0.043625068212686864,0.15145922348731095,0.08947730213403701
8,0.1498126757365686,0.04306822311547068,0.1507671120128146,0.08942070951064428
9,0.15242445006690644,0.04128841693616576,0.15343410666618082,0.08945702016353607
10,0.1542125692660058,0.038926809543260825,0.15526278723997097,0.08944514840841293
11,0.15461960545292608,0.039158009027165395,0.15578496594119956,0.09001706689596176
12,0.15393220219347212,0.03747746208682656,0.15516228318490363,0.08929304083188375
13,0.15316966017363248,0.037088002630130006,0.15451189516871064,0.08849390000104904
14,0.15133224572572443,0.035549189947131604,0.15275049823577758,0.08922258466482162
15,0.15282924231831674,0.034950910325817486,0.1543659761686016,0.08915549616018931
16,0.15307207902272543,0.03327891190915748,0.15468421626698087,0.08912250896294911
17,0.1500087350744892,0.03215976642375743,0.15172467649810845,0.08903939028580983
18,0.15232177244292366,0.03088792435893858,0.1541363941160617,0.08903830597798029
19,0.15076407189998361,0.02924312365724257,0.15265495826800665,0.08897038847208023
20,0.1517615939869925,0.028695212513277377,0.15380293689668179,0.08906109829743704
21,0.15188244088656372,0.026416355105875818,0.1539490011141256,0.08931279331445693
22,0.15184831646857438,0.025072497462301894,0.15400420674295337,0.0889451265335083
23,0.1522924499931159,0.023995878821652796,0.1545591018404122,0.08970886121193568
24,0.15176728692043712,0.022790027308036333,0.1541307859674648,0.08896855314572652
25,0.1510553806330319,0.022426979305843513,0.15360728596095685,0.08882745703061422
26,0.15100729520674105,0.02161681492536984,0.15370418821220044,0.08868857522805532
27,0.1508177643020948,0.020227929741075193,0.15358260756841413,0.08865377952655157
28,0.1513640566004647,0.019913274027338182,0.154343594348541,0.08916855454444886
29,0.1525136759435689,0.019301021445749536,0.15567219664377194,0.08924147834380468
30,0.15151387459977908,0.01867154110395522,0.15485242802511762,0.08902221669753392
31,0.15183578390214178,0.017856392233322065,0.15532068639165825,0.08881047119696935
32,0.15153216039416967,0.016751050686084287,0.15509639190578903,0.08916665464639664
33,0.15107646343056802,0.01599085473679696,0.1547815114673641,0.08903464476267496
34,0.15200587024015408,0.015359067905659753,0.1558759320113394,0.08914733529090882
35,0.15277025144961145,0.014436085320388278,0.15672051699625122,0.08901654928922653
36,0.15379386912617418,0.013727161326204185,0.15786704952242198,0.08934546411037445
37,0.1525004873811095,0.01346668737716283,0.1568266278201783,0.0892416149377823
38,0.15139746900509904,0.013438315389470922,0.15606342442333698,0.08900919109582901
39,0.1534382416004384,0.012681035355112894,0.1581886817045786,0.08911788463592529
40,0.1515091930826505,0.012145346371215527,0.15640877359719188,0.08907004793485006
41,0.15338960048501138,0.011973972221043098,0.15858122499452698,0.08919783929983775
42,0.15261524743228047,0.011005691248337153,0.15773331477410263,0.08914537479480107
43,0.15360099767093305,0.010521960444748402,0.1588379703462124,0.08896118203798929
44,0.15355536251984261,0.010164980435985382,0.15895820795385926,0.08926256795724233
45,0.1545452274106167,0.009751897132783025,0.16006783361512203,0.08898243357737859
46,0.15401744663163466,0.009033080828548581,0.15945507737773437,0.08912920107444128
47,0.15405123439376,0.008442107240962624,0.15944013668707124,0.08915570278962454
48,0.15418698686968396,0.008797654017581846,0.16012759306640537,0.08907112528880437
49,0.15359957571382876,0.00879957706503639,0.1598695486921955,0.08910590410232544
50,0.15528170709256772,0.008082807518938487,0.16134381183871516,0.0890372559428215
51,0.15486855301316138,0.007828410988656321,0.16103318188753393,0.08915476848681768
52,0.15343330124462093,0.007914338416109482,0.1599606606695387,0.08919131209452948
53,0.15427581931429882,0.007407166635082966,0.16065830613176027,0.08910478154818217
