epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.08312903648173367,0.03429345253648029,0.08347331753207578,0.04385607714454333
1,0.08235455649318518,0.053971822666763154,0.08295295887661201,0.04351356451710065
2,0.08135577756911516,0.062086264292399086,0.08211595292582556,0.04365372930963834
3,0.0809055356722739,0.06343128566664678,0.08176312343803821,0.043589372932910916
4,0.08095832513990225,0.06634841690322867,0.08194875468810399,0.04344498763481776
5,0.08040893374493828,0.06401276629832056,0.08146389080556454,0.043602871149778365
6,0.0802852975687495,0.06255832055790557,0.08142339941804055,0.043167958160241444
7,0.08002426730537857,0.05909303499868623,0.08121087743590276,0.04327357883254687
8,0.08015421715875466,0.0570726554185428,0.0814190070938181,0.04310254901647568
9,0.0798947979454641,0.05652278789353592,0.08127699192199442,0.04353029951453209
10,0.0798017687888609,0.053166647596905627,0.08123616839724558,0.04300532887379328
11,0.0799681901310881,0.05085279282044481,0.08148159269519427,0.04306492855151494
12,0.07989094727155235,0.04715835665249162,0.08143877438097089,0.04316924313704173
13,0.0797125245961878,0.04634408573447554,0.08138974176512824,0.04279063269495964
14,0.07948007462201295,0.04254439557661061,0.08117740408137993,0.04331036408742269
15,0.07980670152163064,0.04125914339803987,0.08162079751491547,0.0435485137005647
16,0.07989466845713279,0.039380207312879736,0.08180237171688566,0.04336645876367887
17,0.07999047071293548,0.03621833552433937,0.08192296467583489,0.04443085938692093
18,0.08021816090439204,0.034698601743137394,0.08225665451889788,0.043163292855024335
19,0.08001766891943084,0.033214049275826524,0.08216531850673535,0.042705266674359636
20,0.07962392577556549,0.03181123223017763,0.08188693884208247,0.04268739769856135
21,0.07976204260355896,0.02910277010286572,0.08203876222035399,0.042575421681006746
22,0.07936322564880054,0.027350398427289393,0.0817149841675052,0.042618793249130246
23,0.07986268663295994,0.026000393149270502,0.08231868450012472,0.04254804452260335
24,0.08004482463002205,0.024019892741408613,0.0825358707871702,0.04303807318210602
25,0.07958519903735982,0.023513763159927394,0.08226076589414368,0.04254776686429977
26,0.0802724027523288,0.021903391815377055,0.08300504909345398,0.04267640362183253
27,0.08056864069981708,0.020082493924915238,0.0833136052997024,0.04269252220789591
28,0.08032504538143123,0.019483462079531617,0.08324027244277575,0.04293308481574058
29,0.0802463398280519,0.017940669372263882,0.08318224469958632,0.04207920034726461
30,0.08029372045011432,0.01624896755028102,0.08319910681220116,0.04369197984536489
31,0.08092351392325428,0.015644017227545933,0.0839766424011301,0.042546103398005165
32,0.08109275151596025,0.014886209409235528,0.08426018835355838,0.04381305078665416
33,0.08129009776921184,0.013834789128008264,0.08449558941302476,0.04294751361012459
34,0.08155988039517845,0.012903355553539263,0.08481117041298637,0.04365213140845299
35,0.08188979765745225,0.012652954651491233,0.08535213019974806,0.04290680984656016
36,0.08174731251266268,0.011256884162624678,0.08508750178885681,0.043124755223592125
37,0.08253419037080473,0.010325898192133065,0.08585135928458637,0.04256262729565303
38,0.08250642864516487,0.01021411370365294,0.08605290000775347,0.04221766218543053
39,0.0826618800767594,0.009829168121709867,0.08634398242941609,0.04288523172338803
