epoch,recon_loss,kl_loss,train_loss,test_loss
0,0.16123230334509303,0.02901901917842527,0.16152363360204078,0.09499835868676504
1,0.1583649637522521,0.04725811052722512,0.1588889296270079,0.09529839406410853
2,0.15659319519720696,0.05554746132757929,0.15727331158187655,0.09389655143022538
3,0.15573735231602634,0.05861815796406181,0.1565298667108571,0.09463287691275278
4,0.15456069674756792,0.06286924232349352,0.15549919036803422,0.09215489576260248
5,0.15369425072438186,0.06266578680111302,0.1547270086766393,0.0920616919795672
6,0.1533809064163102,0.06203723309078702,0.15450952795368653,0.09226037512222926
7,0.1531968647269187,0.05958280339837074,0.15439331021021913,0.09384073366721471
8,0.1522111674701726,0.05833859762383832,0.15350401235951316,0.09238879332939784
9,0.15203182447563718,0.056883693465756044,0.15342284414779256,0.09190695136785507
10,0.15152270146818073,0.05468740027949766,0.1529981296647478,0.0928140327334404
11,0.1513788711141657,0.05178838319800518,0.15292011746377857,0.09196891784667968
12,0.15186992722253004,0.049002696070130226,0.15347828929898916,0.0925942987203598
13,0.15241534807891757,0.04895151461716051,0.15418692912768434,0.09269843449195227
14,0.15096442104765662,0.04467340215557703,0.15274668822961826,0.09139145563046137
15,0.1504808315248401,0.04450615828304931,0.15243769368087803,0.09104811201492945
16,0.1502147032706826,0.04132458295121237,0.15221659811558547,0.0914816031853358
17,0.1501756321500849,0.038864362312273845,0.15224931002766998,0.09303782383600871
18,0.1508038934596159,0.03747061652096885,0.15300523993317727,0.09339809268712998
19,0.1508261281307097,0.035375918089239684,0.15311356654597652,0.09175218443075815
20,0.14978549401793215,0.033336691575607764,0.15215702720538335,0.0903093193968137
21,0.15007928082788433,0.030877709336992767,0.15249485494913878,0.09173242499430974
22,0.14919862447789423,0.029951151538019378,0.15177401327700527,0.09170929888884226
23,0.1497449921099124,0.02714572675284688,0.15230917820224055,0.09173541168371836
24,0.15014309236020953,0.026310830092471506,0.15287172608077526,0.09266143838564554
25,0.14949468336999416,0.025234726248998886,0.1523660735261661,0.09058101624250411
26,0.15010268103193353,0.024218250928377663,0.15312412746802526,0.09087897141774495
27,0.1495253363693202,0.022433822724485287,0.15259169055907815,0.09011477828025818
28,0.1498709814278064,0.021746145768298045,0.15312476421671886,0.09140093624591827
29,0.14931196912571235,0.01972190215666261,0.15253936416572994,0.09017554968595505
30,0.14965385771184056,0.018212452979275474,0.1529103236755839,0.09110336204369864
31,0.15104882163857972,0.017436180410354777,0.15445171337988642,0.0931093176205953
32,0.15078230202198029,0.016918676543152995,0.15438220098062796,0.09132921546697617
33,0.15095075944231617,0.016225213258251273,0.15471010772442376,0.09230724722146988
34,0.15088489658578677,0.014971976547881408,0.1546574212886669,0.09177688509225845
35,0.15181072366734347,0.014810942842073186,0.15586356473741708,0.09072017123301825
36,0.1507021352234814,0.013538714808722338,0.1547193988053887,0.09118939141432444
37,0.15142776886070217,0.012696859396614687,0.1555066033507939,0.09195970247189204
